model,train_time_s,eval_time_s,regular_HR@10,regular_NDCG@10,regular_MAP,cold_start_HR@10,cold_start_NDCG@10,cold_start_MAP
popularity,0.0015,0.0361,0.1828,0.0366,0.0136,0.531,0.1343,0.048
matrix_factorization,2.8637,1.1305,0.086,0.0152,0.0051,0.531,0.1343,0.048
ncf,210.4869,1.8934,0.243,0.0433,0.0152,0.5379,0.1118,0.0329
two_tower,311.0242,1.2916,0.2323,0.0444,0.0171,0.5379,0.1423,0.0507
