n_factors,reg,n_epochs,HR@10,NDCG@10,MAP
20,0.0001,100,0.08817204301075268,0.011572714248076307,0.0028092135141234453
20,0.0001,200,0.043010752688172046,0.004909029872138118,0.0011326353961948182
20,0.0001,300,0.05161290322580645,0.005908908039282739,0.001286359865648416
20,0.0005,100,0.07526881720430108,0.010980150669526265,0.0031121865253774246
20,0.0005,200,0.04946236559139785,0.005402036498045236,0.001076238794645976
20,0.0005,300,0.06236559139784946,0.007042076695714583,0.0015147219106225744
20,0.001,100,0.08172043010752689,0.010181659076770341,0.0034013370176410535
20,0.001,200,0.06666666666666667,0.008428755090852743,0.002264325208492169
20,0.001,300,0.05161290322580645,0.0062310046671659545,0.0014671202051161087
50,0.0001,100,0.11182795698924732,0.017159096714701613,0.005582201872952371
50,0.0001,200,0.10752688172043011,0.015115065418745827,0.004787448086698836
50,0.0001,300,0.11612903225806452,0.017604602017577943,0.006445822755941797
50,0.0005,100,0.1053763440860215,0.015245017337714602,0.004534127148387973
50,0.0005,200,0.0989247311827957,0.014428602367400097,0.004208421136353944
50,0.0005,300,0.0989247311827957,0.013148311068773918,0.003999154908792892
50,0.001,100,0.11612903225806452,0.016784196006118777,0.005710474245577314
50,0.001,200,0.13763440860215054,0.019563013613371982,0.0062493576059523895
50,0.001,300,0.13548387096774195,0.022190968332035103,0.006768744423422952
