model,train_time_s,eval_time_s,regular_HR@10,regular_NDCG@10,regular_MAP,cold_start_HR@10,cold_start_NDCG@10,cold_start_MAP
popularity,0.0028,0.4899,0.0151,0.0076,0.0059,0.1011,0.0282,0.0157
matrix_factorization,6.33,83.5328,0.0708,0.0344,0.0254,0.0,0.0,0.0
ncf,109.8417,70.892,0.0251,0.0109,0.0076,0.0,0.0,0.0
two_tower,355.4781,40.2657,0.0154,0.0068,0.0049,0.0,0.0,0.0
